Customer_Name,Gender,Age,City,Brand,Generation,RAM_Type,RAM_Size,Storage,Usage_Type,Buying_Power
Saad,Male,42,Peshawar,MSI,8th Gen,DDR5,8GB,256GB SSD,Gaming,Low
Usman,Male,26,Lahore,Dell,13th Gen,DDR5,16GB,256GB SSD,Gaming,Medium
Hussain,Male,34,Faisalabad,Dell,10th Gen,DDR5,32GB,1TB SSD,Student,Medium
Eman,Female,39,Islamabad,Asus,12th Gen,DDR5,8GB,256GB SSD,Student,Low
Zubair,Male,44,Islamabad,MSI,12th Gen,DDR5,8GB,256GB SSD,Business,Low
Hira,Female,31,Karachi,Dell,10th Gen,DDR4,8GB,1TB SSD,Gaming,Medium
Imran,Male,20,Lahore,Dell,13th Gen,DDR5,32GB,512GB SSD,Gaming,High
Abdullah,Male,27,Islamabad,Acer,11th Gen,DDR5,32GB,1TB SSD,Gaming,Low
Hussain,Male,31,Karachi,Asus,10th Gen,DDR5,8GB,512GB SSD,Student,Low
Abdullah,Male,44,Lahore,Asus,8th Gen,DDR4,32GB,256GB SSD,Business,High
Kinza,Female,44,Karachi,Dell,10th Gen,DDR5,16GB,256GB SSD,Programming,Medium
Hassan,Male,38,Faisalabad,Dell,11th Gen,DDR4,32GB,256GB SSD,Business,High
Laiba,Female,38,Peshawar,Asus,10th Gen,DDR5,16GB,1TB SSD,Student,Low
Hassan,Male,22,Peshawar,MSI,9th Gen,DDR5,32GB,512GB SSD,Gaming,High
Kinza,Female,23,Faisalabad,Acer,10th Gen,DDR5,32GB,1TB SSD,Student,Low
Umar,Male,37,Lahore,Asus,12th Gen,DDR5,32GB,256GB SSD,Programming,Medium
Bilal,Male,29,Peshawar,MSI,10th Gen,DDR5,16GB,1TB SSD,Programming,High
Hira,Female,36,Lahore,Asus,9th Gen,DDR5,16GB,512GB SSD,Office,Low
Hassan,Male,34,Peshawar,MSI,11th Gen,DDR5,8GB,512GB SSD,Programming,Low
Iqra,Female,45,Multan,MSI,10th Gen,DDR5,16GB,512GB SSD,Business,Low
Ahmed,Male,40,Faisalabad,MSI,11th Gen,DDR5,8GB,512GB SSD,Student,Low
Imran,Male,30,Peshawar,HP,11th Gen,DDR5,32GB,256GB SSD,Programming,High
Imran,Male,18,Multan,HP,13th Gen,DDR5,16GB,512GB SSD,Programming,High
Hira,Female,33,Multan,Lenovo,8th Gen,DDR5,8GB,1TB SSD,Business,Medium
Bilal,Male,19,Peshawar,Lenovo,10th Gen,DDR4,16GB,512GB SSD,Office,High
Kinza,Female,28,Peshawar,HP,12th Gen,DDR5,8GB,256GB SSD,Office,High
Hira,Female,31,Peshawar,Dell,12th Gen,DDR5,16GB,1TB SSD,Office,Medium
Maham,Female,24,Lahore,Dell,10th Gen,DDR4,32GB,256GB SSD,Programming,Low
Maham,Female,20,Karachi,HP,10th Gen,DDR5,16GB,256GB SSD,Gaming,High
Kinza,Female,29,Faisalabad,Asus,10th Gen,DDR5,8GB,256GB SSD,Gaming,Low
Bilal,Male,20,Multan,MSI,9th Gen,DDR4,32GB,512GB SSD,Business,Medium
Saad,Male,34,Multan,Asus,8th Gen,DDR5,32GB,512GB SSD,Gaming,Medium
Bilal,Male,32,Multan,Acer,11th Gen,DDR4,16GB,256GB SSD,Office,Medium
Kinza,Female,33,Islamabad,HP,10th Gen,DDR5,32GB,256GB SSD,Programming,Medium
Hassan,Male,35,Karachi,Lenovo,10th Gen,DDR5,8GB,256GB SSD,Business,Medium
Maryam,Female,26,Multan,MSI,11th Gen,DDR5,16GB,256GB SSD,Business,Medium
Zubair,Male,30,Faisalabad,Acer,13th Gen,DDR5,32GB,1TB SSD,Office,Low
Usman,Male,32,Peshawar,Acer,11th Gen,DDR5,16GB,1TB SSD,Office,Medium
Zubair,Male,31,Peshawar,Dell,10th Gen,DDR5,32GB,512GB SSD,Programming,Low
Maryam,Female,23,Islamabad,MSI,11th Gen,DDR5,32GB,256GB SSD,Office,Medium
Zainab,Female,25,Faisalabad,HP,9th Gen,DDR5,16GB,256GB SSD,Programming,High
Imran,Male,42,Karachi,Acer,13th Gen,DDR5,16GB,256GB SSD,Office,Low
Laiba,Female,19,Lahore,HP,11th Gen,DDR4,8GB,512GB SSD,Office,Low
Zubair,Male,35,Faisalabad,Dell,10th Gen,DDR4,32GB,1TB SSD,Office,High
Saad,Male,27,Karachi,Asus,13th Gen,DDR4,8GB,1TB SSD,Gaming,High
Ayesha,Female,31,Peshawar,Acer,11th Gen,DDR5,8GB,1TB SSD,Office,Low
Hussain,Male,34,Karachi,MSI,12th Gen,DDR5,32GB,1TB SSD,Office,Low
Hassan,Male,21,Islamabad,MSI,10th Gen,DDR5,8GB,1TB SSD,Student,Medium
Hira,Female,43,Faisalabad,Asus,11th Gen,DDR5,32GB,256GB SSD,Gaming,Medium
Sana,Female,24,Karachi,Dell,10th Gen,DDR4,32GB,1TB SSD,Student,Medium
Maryam,Female,34,Lahore,Asus,8th Gen,DDR5,32GB,512GB SSD,Student,Medium
Usman,Male,43,Peshawar,MSI,10th Gen,DDR4,16GB,512GB SSD,Student,High
Maryam,Female,21,Karachi,Lenovo,13th Gen,DDR5,32GB,512GB SSD,Gaming,High
Ahmed,Male,29,Multan,Asus,8th Gen,DDR5,16GB,256GB SSD,Office,Low
Abdullah,Male,32,Karachi,MSI,11th Gen,DDR4,32GB,256GB SSD,Business,Medium
Zainab,Female,44,Multan,Acer,10th Gen,DDR5,32GB,512GB SSD,Student,High
Hamza,Male,22,Faisalabad,Lenovo,10th Gen,DDR5,16GB,1TB SSD,Programming,Medium
Abdullah,Male,39,Lahore,HP,10th Gen,DDR5,8GB,512GB SSD,Office,Medium
Hamza,Male,23,Karachi,Acer,9th Gen,DDR5,8GB,256GB SSD,Gaming,Medium
Ayesha,Female,43,Peshawar,MSI,10th Gen,DDR5,16GB,256GB SSD,Student,Low
Anaya,Female,29,Karachi,Asus,10th Gen,DDR4,16GB,512GB SSD,Programming,High
Laiba,Female,32,Multan,HP,8th Gen,DDR4,8GB,1TB SSD,Business,Low
Dua,Female,18,Peshawar,Dell,9th Gen,DDR4,8GB,1TB SSD,Programming,High
Maham,Female,24,Islamabad,Asus,11th Gen,DDR5,32GB,1TB SSD,Office,High
Rizwan,Male,34,Karachi,MSI,9th Gen,DDR5,16GB,512GB SSD,Business,Medium
Umar,Male,25,Karachi,Dell,12th Gen,DDR5,16GB,1TB SSD,Office,Medium
Faizan,Male,42,Lahore,Lenovo,10th Gen,DDR4,32GB,1TB SSD,Student,High
Kinza,Female,21,Karachi,MSI,12th Gen,DDR5,8GB,512GB SSD,Business,Low
Laiba,Female,28,Islamabad,Asus,11th Gen,DDR4,32GB,1TB SSD,Gaming,High
Iqra,Female,32,Multan,Acer,10th Gen,DDR5,8GB,1TB SSD,Office,Low
Kinza,Female,39,Multan,MSI,8th Gen,DDR5,8GB,256GB SSD,Gaming,Low
Abdullah,Male,22,Islamabad,HP,10th Gen,DDR5,16GB,256GB SSD,Programming,High
Noor,Female,20,Peshawar,MSI,12th Gen,DDR5,32GB,1TB SSD,Programming,Low
Hassan,Male,28,Karachi,MSI,8th Gen,DDR5,16GB,512GB SSD,Programming,Low
Anaya,Female,40,Karachi,Acer,12th Gen,DDR5,16GB,256GB SSD,Gaming,Low
Maham,Female,19,Karachi,Asus,11th Gen,DDR5,32GB,512GB SSD,Business,High
Ali,Male,40,Lahore,Asus,10th Gen,DDR5,8GB,256GB SSD,Student,Low
Anaya,Female,24,Karachi,Asus,9th Gen,DDR5,8GB,256GB SSD,Student,High
Hamza,Male,23,Peshawar,Asus,10th Gen,DDR4,32GB,512GB SSD,Programming,High
Ahmed,Male,39,Peshawar,Lenovo,10th Gen,DDR5,32GB,256GB SSD,Office,Medium
Rizwan,Male,25,Karachi,Dell,11th Gen,DDR4,16GB,1TB SSD,Gaming,Low
Hassan,Male,29,Lahore,HP,8th Gen,DDR5,32GB,512GB SSD,Student,Low
Fatima,Female,38,Faisalabad,Asus,12th Gen,DDR5,8GB,512GB SSD,Gaming,Medium
Umar,Male,43,Lahore,Dell,10th Gen,DDR4,8GB,512GB SSD,Business,Low
Zubair,Male,29,Peshawar,HP,10th Gen,DDR5,8GB,1TB SSD,Programming,Low
Dua,Female,45,Multan,Dell,10th Gen,DDR5,8GB,512GB SSD,Programming,Low
Noor,Female,32,Islamabad,Dell,11th Gen,DDR5,8GB,512GB SSD,Office,High
Maham,Female,33,Peshawar,MSI,12th Gen,DDR5,32GB,512GB SSD,Office,Low
Imran,Male,20,Multan,HP,11th Gen,DDR5,16GB,512GB SSD,Office,High
Sana,Female,35,Peshawar,Lenovo,10th Gen,DDR5,32GB,1TB SSD,Programming,High
Talha,Male,22,Karachi,Asus,10th Gen,DDR5,16GB,256GB SSD,Business,High
Rizwan,Male,25,Lahore,Dell,13th Gen,DDR4,32GB,1TB SSD,Gaming,Medium
Bilal,Male,20,Karachi,Acer,13th Gen,DDR5,32GB,256GB SSD,Programming,Medium
Noor,Female,26,Karachi,Lenovo,12th Gen,DDR5,16GB,1TB SSD,Programming,Low
Fatima,Female,23,Faisalabad,MSI,10th Gen,DDR5,16GB,256GB SSD,Gaming,Low
Fatima,Female,31,Peshawar,Asus,10th Gen,DDR5,8GB,256GB SSD,Gaming,High
Rizwan,Male,23,Islamabad,Lenovo,11th Gen,DDR5,16GB,256GB SSD,Office,Medium
Ali,Male,44,Karachi,Asus,13th Gen,DDR5,32GB,1TB SSD,Programming,Low
Imran,Male,44,Faisalabad,HP,10th Gen,DDR4,8GB,256GB SSD,Office,High
Ali,Male,33,Peshawar,Acer,13th Gen,DDR4,32GB,512GB SSD,Office,High
Dua,Female,40,Faisalabad,Lenovo,10th Gen,DDR4,8GB,1TB SSD,Business,High
Kinza,Female,23,Karachi,HP,10th Gen,DDR4,16GB,256GB SSD,Business,Low
Dua,Female,43,Faisalabad,Asus,9th Gen,DDR5,32GB,512GB SSD,Office,Low
Imran,Male,20,Karachi,Lenovo,11th Gen,DDR5,32GB,1TB SSD,Student,Low
Maryam,Female,19,Peshawar,Acer,13th Gen,DDR5,16GB,512GB SSD,Office,Low
Fatima,Female,29,Lahore,MSI,11th Gen,DDR5,8GB,256GB SSD,Student,Low
Usman,Male,39,Peshawar,MSI,10th Gen,DDR5,8GB,1TB SSD,Student,Low
Maham,Female,18,Islamabad,MSI,10th Gen,DDR5,16GB,512GB SSD,Programming,Medium
Maryam,Female,30,Karachi,MSI,13th Gen,DDR5,8GB,256GB SSD,Business,High
Bilal,Male,40,Lahore,Asus,10th Gen,DDR5,8GB,1TB SSD,Student,Low
Anaya,Female,36,Karachi,Lenovo,10th Gen,DDR5,32GB,256GB SSD,Programming,Medium
Hussain,Male,38,Lahore,Acer,10th Gen,DDR5,8GB,512GB SSD,Student,Medium
Umar,Male,34,Peshawar,Acer,10th Gen,DDR5,16GB,1TB SSD,Student,Low
Sana,Female,26,Faisalabad,HP,13th Gen,DDR5,32GB,256GB SSD,Office,High
Noor,Female,26,Multan,Acer,10th Gen,DDR4,16GB,256GB SSD,Gaming,Medium
Hassan,Male,29,Peshawar,Lenovo,10th Gen,DDR5,16GB,512GB SSD,Programming,Medium
Ahmed,Male,36,Karachi,Lenovo,11th Gen,DDR5,16GB,256GB SSD,Programming,High
Mehwish,Female,33,Islamabad,MSI,11th Gen,DDR5,32GB,1TB SSD,Programming,Low
Anaya,Female,45,Peshawar,Asus,10th Gen,DDR5,32GB,512GB SSD,Business,Medium
Faizan,Male,30,Faisalabad,HP,11th Gen,DDR4,32GB,512GB SSD,Business,Low
Sana,Female,33,Islamabad,HP,9th Gen,DDR4,32GB,1TB SSD,Gaming,High
Abdullah,Male,29,Lahore,Asus,12th Gen,DDR5,8GB,1TB SSD,Business,Low
Kinza,Female,25,Lahore,HP,9th Gen,DDR5,32GB,256GB SSD,Office,Low
Umar,Male,25,Islamabad,Dell,13th Gen,DDR5,32GB,1TB SSD,Office,Medium
Iqra,Female,31,Karachi,Acer,9th Gen,DDR4,8GB,512GB SSD,Programming,Low
Ali,Male,29,Karachi,MSI,11th Gen,DDR5,32GB,512GB SSD,Programming,Medium
Ayesha,Female,23,Lahore,Asus,8th Gen,DDR4,8GB,256GB SSD,Programming,Low
Laiba,Female,35,Multan,Asus,8th Gen,DDR5,16GB,256GB SSD,Office,Medium
Kinza,Female,31,Islamabad,Acer,13th Gen,DDR4,8GB,512GB SSD,Gaming,Medium
Bilal,Male,42,Multan,MSI,9th Gen,DDR4,8GB,512GB SSD,Programming,Medium
Iqra,Female,20,Faisalabad,Lenovo,11th Gen,DDR5,8GB,256GB SSD,Business,Medium
Kinza,Female,42,Islamabad,Acer,10th Gen,DDR5,16GB,256GB SSD,Programming,Medium
Anaya,Female,25,Karachi,Dell,10th Gen,DDR5,8GB,1TB SSD,Programming,Medium
Kinza,Female,32,Islamabad,Dell,8th Gen,DDR5,8GB,512GB SSD,Student,Medium
Saad,Male,26,Peshawar,HP,10th Gen,DDR5,32GB,256GB SSD,Office,High
Bilal,Male,24,Faisalabad,Acer,13th Gen,DDR5,16GB,512GB SSD,Gaming,Low
Hussain,Male,42,Multan,Lenovo,12th Gen,DDR4,32GB,1TB SSD,Student,Low
Hassan,Male,19,Karachi,HP,11th Gen,DDR5,16GB,1TB SSD,Programming,Low
Noor,Female,39,Faisalabad,HP,9th Gen,DDR4,8GB,512GB SSD,Programming,Medium
Iqra,Female,32,Islamabad,Acer,11th Gen,DDR5,8GB,256GB SSD,Business,Medium
Hassan,Male,23,Islamabad,Lenovo,11th Gen,DDR5,16GB,256GB SSD,Office,Low
Sana,Female,32,Faisalabad,Lenovo,9th Gen,DDR5,32GB,1TB SSD,Programming,Medium
Dua,Female,34,Karachi,Dell,10th Gen,DDR5,32GB,512GB SSD,Student,Low
Ayesha,Female,44,Karachi,HP,9th Gen,DDR4,8GB,1TB SSD,Business,Low
Imran,Male,34,Lahore,Dell,13th Gen,DDR4,32GB,1TB SSD,Office,Low
Saad,Male,24,Multan,HP,11th Gen,DDR4,8GB,256GB SSD,Business,High
Dua,Female,40,Lahore,MSI,12th Gen,DDR4,32GB,512GB SSD,Business,Medium
Laiba,Female,38,Faisalabad,Lenovo,8th Gen,DDR5,32GB,1TB SSD,Business,Medium
Zubair,Male,35,Islamabad,MSI,10th Gen,DDR5,16GB,1TB SSD,Student,Medium
Hira,Female,45,Karachi,Dell,10th Gen,DDR5,16GB,1TB SSD,Student,Low
Ayesha,Female,38,Faisalabad,HP,10th Gen,DDR5,16GB,1TB SSD,Business,High
Kinza,Female,35,Islamabad,Lenovo,11th Gen,DDR5,16GB,1TB SSD,Programming,Medium
Maham,Female,42,Peshawar,Asus,10th Gen,DDR5,8GB,1TB SSD,Office,High
Talha,Male,44,Islamabad,Dell,13th Gen,DDR5,32GB,512GB SSD,Gaming,Low
Iqra,Female,37,Karachi,Acer,12th Gen,DDR4,16GB,512GB SSD,Student,Medium
Fatima,Female,22,Multan,MSI,11th Gen,DDR5,8GB,256GB SSD,Programming,Medium
Umar,Male,23,Peshawar,HP,11th Gen,DDR5,32GB,256GB SSD,Gaming,Medium
Talha,Male,18,Multan,Acer,10th Gen,DDR4,16GB,512GB SSD,Student,High
Laiba,Female,25,Islamabad,Dell,10th Gen,DDR5,32GB,512GB SSD,Programming,High
Noor,Female,39,Karachi,Dell,13th Gen,DDR4,16GB,1TB SSD,Gaming,Medium
Hira,Female,40,Lahore,Lenovo,10th Gen,DDR4,8GB,256GB SSD,Programming,Medium
Hamza,Male,25,Multan,Asus,9th Gen,DDR5,8GB,256GB SSD,Office,High
Iqra,Female,30,Multan,Asus,10th Gen,DDR5,32GB,1TB SSD,Business,Low
Dua,Female,31,Multan,Dell,12th Gen,DDR5,32GB,512GB SSD,Business,Medium
Usman,Male,32,Faisalabad,Asus,11th Gen,DDR5,16GB,256GB SSD,Business,High
Maryam,Female,28,Multan,Dell,12th Gen,DDR5,32GB,512GB SSD,Student,Low
Abdullah,Male,24,Faisalabad,Dell,11th Gen,DDR5,8GB,1TB SSD,Programming,Low
Talha,Male,28,Lahore,Dell,10th Gen,DDR4,16GB,512GB SSD,Office,Low
Hassan,Male,28,Peshawar,HP,13th Gen,DDR4,32GB,256GB SSD,Gaming,Low
Bilal,Male,44,Lahore,Dell,8th Gen,DDR5,8GB,1TB SSD,Programming,Medium
Maryam,Female,24,Lahore,Lenovo,11th Gen,DDR5,8GB,256GB SSD,Programming,Low
Fatima,Female,31,Multan,MSI,9th Gen,DDR5,16GB,256GB SSD,Business,Medium
Noor,Female,42,Multan,HP,11th Gen,DDR5,16GB,512GB SSD,Business,Medium
Ayesha,Female,36,Islamabad,Lenovo,10th Gen,DDR5,16GB,1TB SSD,Office,Low
Rizwan,Male,35,Karachi,HP,10th Gen,DDR4,16GB,512GB SSD,Programming,Low
Iqra,Female,42,Multan,Lenovo,10th Gen,DDR5,16GB,1TB SSD,Student,Medium
Abdullah,Male,37,Karachi,Dell,11th Gen,DDR4,32GB,256GB SSD,Office,Low
Fatima,Female,18,Faisalabad,Acer,11th Gen,DDR5,32GB,512GB SSD,Gaming,Low
Maham,Female,29,Karachi,Lenovo,13th Gen,DDR5,32GB,256GB SSD,Business,Medium
Iqra,Female,45,Islamabad,Acer,10th Gen,DDR4,32GB,256GB SSD,Office,Medium
Ahmed,Male,45,Faisalabad,Acer,10th Gen,DDR5,32GB,512GB SSD,Office,High
Faizan,Male,40,Multan,Acer,12th Gen,DDR5,32GB,256GB SSD,Programming,High
Zubair,Male,24,Faisalabad,Asus,13th Gen,DDR5,16GB,512GB SSD,Student,Low
Fatima,Female,40,Peshawar,Acer,11th Gen,DDR4,16GB,512GB SSD,Office,Medium
Hassan,Male,21,Lahore,Lenovo,10th Gen,DDR5,32GB,256GB SSD,Student,Medium
Laiba,Female,20,Peshawar,HP,8th Gen,DDR4,32GB,1TB SSD,Business,High
Rizwan,Male,23,Faisalabad,Lenovo,13th Gen,DDR5,8GB,512GB SSD,Programming,Medium
Imran,Male,29,Lahore,Asus,13th Gen,DDR5,8GB,512GB SSD,Office,Low
Iqra,Female,24,Peshawar,Acer,10th Gen,DDR4,32GB,1TB SSD,Business,High
Talha,Male,40,Lahore,Asus,11th Gen,DDR5,8GB,1TB SSD,Business,Low
Abdullah,Male,35,Karachi,Dell,13th Gen,DDR5,16GB,512GB SSD,Gaming,Low
Eman,Female,23,Faisalabad,Lenovo,10th Gen,DDR5,8GB,256GB SSD,Business,Low
Hamza,Male,38,Islamabad,Acer,13th Gen,DDR4,16GB,512GB SSD,Office,Low
Abdullah,Male,41,Karachi,Dell,9th Gen,DDR4,32GB,1TB SSD,Office,Low
Usman,Male,37,Lahore,MSI,11th Gen,DDR4,32GB,1TB SSD,Gaming,Low
Hassan,Male,41,Peshawar,Dell,13th Gen,DDR5,32GB,512GB SSD,Student,Low
Zainab,Female,31,Multan,HP,12th Gen,DDR5,32GB,1TB SSD,Student,Low
Kinza,Female,21,Lahore,Lenovo,10th Gen,DDR5,32GB,1TB SSD,Programming,High
Zubair,Male,25,Karachi,Acer,10th Gen,DDR4,8GB,256GB SSD,Programming,Low
Laiba,Female,21,Faisalabad,Lenovo,11th Gen,DDR5,16GB,256GB SSD,Office,Medium
Eman,Female,21,Faisalabad,MSI,12th Gen,DDR4,16GB,512GB SSD,Office,Medium
Ahmed,Male,35,Multan,Asus,10th Gen,DDR5,8GB,512GB SSD,Student,Medium
Hassan,Male,35,Peshawar,Lenovo,9th Gen,DDR5,8GB,256GB SSD,Programming,Low
Talha,Male,36,Peshawar,Acer,11th Gen,DDR5,32GB,1TB SSD,Business,Low
Hassan,Male,31,Faisalabad,Lenovo,10th Gen,DDR5,32GB,1TB SSD,Office,Low
Ahmed,Male,20,Lahore,Asus,10th Gen,DDR4,32GB,256GB SSD,Programming,Low
Hira,Female,35,Multan,MSI,11th Gen,DDR4,32GB,256GB SSD,Student,Low
Bilal,Male,33,Karachi,HP,13th Gen,DDR5,32GB,1TB SSD,Office,Medium
Umar,Male,22,Multan,Asus,10th Gen,DDR5,16GB,512GB SSD,Programming,Low
Umar,Male,35,Karachi,Asus,10th Gen,DDR5,16GB,512GB SSD,Office,Medium
Dua,Female,40,Karachi,Lenovo,12th Gen,DDR4,32GB,512GB SSD,Gaming,Medium
Ayesha,Female,42,Lahore,MSI,11th Gen,DDR4,8GB,1TB SSD,Business,High
Fatima,Female,20,Karachi,Lenovo,13th Gen,DDR4,16GB,256GB SSD,Gaming,Low
Kinza,Female,27,Multan,Dell,10th Gen,DDR5,32GB,512GB SSD,Business,Medium
Ahmed,Male,37,Faisalabad,HP,13th Gen,DDR5,32GB,512GB SSD,Gaming,Low
Sana,Female,26,Faisalabad,Asus,10th Gen,DDR5,8GB,256GB SSD,Business,Medium
Ali,Male,30,Multan,Asus,10th Gen,DDR5,32GB,512GB SSD,Business,Medium
Zainab,Female,24,Lahore,Dell,10th Gen,DDR5,8GB,512GB SSD,Office,Low
Maryam,Female,26,Multan,MSI,10th Gen,DDR5,32GB,1TB SSD,Gaming,Low
Zubair,Male,22,Faisalabad,Asus,9th Gen,DDR5,32GB,256GB SSD,Student,Low
Maham,Female,18,Peshawar,HP,10th Gen,DDR5,32GB,1TB SSD,Programming,High
Maryam,Female,42,Faisalabad,Asus,9th Gen,DDR5,16GB,512GB SSD,Programming,High
Ali,Male,24,Multan,Dell,13th Gen,DDR5,32GB,1TB SSD,Gaming,Low
Fatima,Female,42,Multan,Lenovo,10th Gen,DDR4,8GB,256GB SSD,Business,Medium
Ayesha,Female,36,Peshawar,Dell,10th Gen,DDR5,8GB,1TB SSD,Programming,High
Abdullah,Male,25,Islamabad,Dell,11th Gen,DDR4,16GB,512GB SSD,Office,Low
Fatima,Female,31,Karachi,Asus,9th Gen,DDR5,32GB,1TB SSD,Office,Low
Usman,Male,18,Faisalabad,MSI,11th Gen,DDR5,8GB,256GB SSD,Gaming,Low
Usman,Male,24,Karachi,Lenovo,11th Gen,DDR5,32GB,512GB SSD,Programming,Medium
Abdullah,Male,34,Faisalabad,MSI,13th Gen,DDR5,16GB,256GB SSD,Programming,Low
Noor,Female,39,Faisalabad,Dell,8th Gen,DDR5,32GB,1TB SSD,Student,High
Sana,Female,40,Peshawar,Dell,13th Gen,DDR5,8GB,256GB SSD,Gaming,Medium
Rizwan,Male,23,Faisalabad,Dell,9th Gen,DDR5,8GB,256GB SSD,Business,Low
Sana,Female,44,Multan,Asus,8th Gen,DDR5,32GB,512GB SSD,Business,Low
Anaya,Female,44,Multan,Lenovo,13th Gen,DDR5,8GB,1TB SSD,Gaming,Medium
Bilal,Male,30,Peshawar,Lenovo,10th Gen,DDR5,8GB,256GB SSD,Student,Low
Kinza,Female,35,Peshawar,Dell,10th Gen,DDR5,16GB,256GB SSD,Business,Low
Ayesha,Female,25,Peshawar,MSI,10th Gen,DDR5,8GB,256GB SSD,Business,Low
Hassan,Male,28,Multan,MSI,10th Gen,DDR5,32GB,1TB SSD,Office,High
